placement,size,latency_us
same_numa,1,0.10
same_numa,2,0.11
same_numa,4,0.11
same_numa,8,0.11
same_numa,16,0.12
same_numa,32,0.11
same_numa,64,0.11
same_numa,128,0.11
same_numa,256,0.12
same_numa,512,0.12
same_numa,1024,0.13
same_numa,2048,0.15
same_numa,4096,0.18
same_numa,8192,0.26
diff_numa_same_socket,1,0.10
diff_numa_same_socket,2,0.11
diff_numa_same_socket,4,0.11
diff_numa_same_socket,8,0.12
diff_numa_same_socket,16,0.11
diff_numa_same_socket,32,0.11
diff_numa_same_socket,64,0.11
diff_numa_same_socket,128,0.11
diff_numa_same_socket,256,0.11
diff_numa_same_socket,512,0.12
diff_numa_same_socket,1024,0.13
diff_numa_same_socket,2048,0.15
diff_numa_same_socket,4096,0.18
diff_numa_same_socket,8192,0.29
diff_socket_same_node,1,0.10
diff_socket_same_node,2,0.11
diff_socket_same_node,4,0.11
diff_socket_same_node,8,0.11
diff_socket_same_node,16,0.11
diff_socket_same_node,32,0.12
diff_socket_same_node,64,0.11
diff_socket_same_node,128,0.11
diff_socket_same_node,256,0.11
diff_socket_same_node,512,0.12
diff_socket_same_node,1024,0.13
diff_socket_same_node,2048,0.15
diff_socket_same_node,4096,0.19
diff_socket_same_node,8192,0.28
inter_node,1,3.36
inter_node,2,3.35
inter_node,4,3.26
inter_node,8,3.21
inter_node,16,2.98
inter_node,32,2.91
inter_node,64,3.30
inter_node,128,3.38
inter_node,256,3.40
inter_node,512,3.53
inter_node,1024,3.73
inter_node,2048,4.17
inter_node,4096,5.21
inter_node,8192,6.28
